speed,lateralSpeed,trackPosition,trackEdge_3,trackEdge_6,trackEdge_9,trackEdge_12,trackEdge_15,angleToTrackAxis,action_accelerate,action_brake,action_clutch,action_gear,action_steering,action_focus
165.03,0.000562419,0.413175,3.67869,6.208,139.524,16.1983,9.09882,-0.0231346,1.000000,0.000000,0.000000,4,0.000000,360
165.447,-0.00039503,0.450906,3.44213,5.80867,130.446,16.6313,9.34186,-0.0231535,1.000000,0.000000,0.000000,5,0.000000,360
167.096,0.000130876,0.489813,3.19821,5.39698,121.14,17.0777,9.59244,-0.0231656,1.000000,0.000000,0.000000,5,-0.100842,360
169.104,0.000544676,0.529763,2.94777,4.97436,111.647,17.5357,9.84968,-0.023167,1.000000,0.000000,0.000000,5,0.000000,360
171.074,-0.364837,0.569447,2.70207,4.57011,112.247,17.9228,10.0925,-0.0210983,1.000000,0.000000,0.000000,5,-0.343000,360
173.011,0.40652,0.587225,2.61791,4.52205,200,17.5312,10.094,-0.0023607,1.000000,0.000000,0.000000,5,0.000000,360
175.202,0.00407699,0.59466,2.56961,4.43463,200,17.6373,10.1459,-0.00314167,1.000000,0.000000,0.000000,5,-0.150000,360
177.19,-0.000317252,0.601318,2.52736,4.36161,192.188,17.7117,10.1884,-0.00316556,1.000000,0.000000,0.000000,5,-0.088237,360
179.171,1.51172e-005,0.607977,2.48515,4.28876,182.169,17.7853,10.2308,-0.00316541,1.000000,0.000000,0.000000,5,0.000000,360
181.148,2.14956e-005,0.614635,2.44294,4.21592,172.044,17.859,10.2731,-0.00316575,1.000000,0.000000,0.000000,5,-0.300000,360
183.311,0.000169036,0.621959,2.39651,4.13579,160.791,17.94,10.3197,-0.00316652,1.000000,0.000000,0.000000,5,-0.074119,360
185.266,0.000171274,0.628618,2.3543,4.06294,150.453,18.0137,10.3621,-0.00316691,1.000000,0.000000,0.000000,5,0.000000,360
187.403,1.99956e-005,0.635942,2.30787,3.98281,138.97,18.0947,10.4087,-0.00316699,1.000000,0.000000,0.000000,5,-0.700000,360
189.233,0.844143,0.623713,2.41661,4.2804,200,17.2963,10.2022,0.0189481,1.000000,0.000000,0.000000,5,0.000000,360
191.349,0.00779871,0.588246,2.64216,4.67201,200,16.9579,9.98707,0.0175481,1.000000,0.000000,0.000000,5,0.000000,360
193.262,-0.00147495,0.554954,2.8557,5.04927,200,16.6039,9.77802,0.0174945,1.000000,0.000000,0.000000,5,0.000000,360
195.166,-0.00040293,0.521018,3.07346,5.43433,200,16.2415,9.5646,0.0174986,1.000000,0.000000,0.000000,5,0.000000,360
197.062,-0.000368117,0.485507,3.30133,5.83725,200,15.8794,9.34129,0.0175007,1.000000,0.000000,0.000000,5,0.000000,360
198.948,-0.000307813,0.450462,3.5215,6.19945,200,15.6278,9.13563,0.0158202,1.000000,0.000000,0.000000,5,0.000000,360
201.036,-0.000251361,0.422607,3.68541,6.43612,200,15.501,8.99396,0.00912241,1.000000,0.000000,0.000000,5,0.000000,360
200.772,0.000556523,0.40969,3.75354,6.50501,200,15.5342,8.94574,0.00252616,1.000000,0.000000,0.000000,6,-0.441000,360
202.032,0.000317635,0.410689,3.73446,6.42936,200,15.7055,8.98252,-0.00335984,1.000000,0.000000,0.000000,6,0.000000,360
203.369,-7.3893e-005,0.423917,3.63846,6.2235,200,16.0178,9.09793,-0.0091892,1.000000,0.000000,0.000000,6,-0.750000,360
204.103,5.9929,0.429532,3.72551,6.81114,170.116,14.6412,8.8559,0.0464051,1.000000,0.000000,0.000000,6,-0.082354,360
205.404,0.768779,0.357267,4.20081,7.69069,145.229,13.8675,8.4023,0.0477016,1.000000,0.000000,0.000000,6,0.000000,360
206.732,-0.00451307,0.268155,4.76088,8.63168,137.664,13.1047,7.88053,0.0403222,1.000000,0.000000,0.000000,6,0.000000,360
208.044,-0.00109203,0.190119,5.24978,9.45339,126.247,12.3912,7.41734,0.0347292,1.000000,0.000000,0.000000,6,0.000000,360
209.466,9.46094e-005,0.112926,5.75206,10.4094,113.437,11.5331,6.93339,0.0340789,1.000000,0.000000,0.000000,6,0.216090,360
210.751,7.28879e-005,0.0364879,6.26482,11.4028,101.8,10.6701,6.44265,0.0384001,1.000000,0.000000,0.000000,6,0.000000,360
211.989,0.348483,-0.0502486,6.83777,12.4797,93.2674,9.74939,5.8977,0.0403483,1.000000,0.000000,0.000000,6,0.343000,360
213.176,-0.58938,-0.116655,7.19479,12.86,106.789,9.31461,5.53468,0.0236336,1.000000,0.000000,0.000000,6,0.000000,360
214.558,0.00686291,-0.181685,7.64312,13.7698,92.2556,8.54517,5.11022,0.0298011,1.000000,0.000000,0.000000,6,0.900000,360
215.108,-6.75876,-0.222479,7.61537,12.7166,200,9.09416,5.04298,-0.0355071,1.000000,0.000000,0.000000,6,0.057648,360
216.467,-0.358333,-0.169744,7.30724,12.269,200,9.61601,5.36752,-0.0303218,1.000000,0.000000,0.000000,6,0.000000,360
217.695,0.01193,-0.111284,6.96215,11.7393,200,10.2034,5.72613,-0.024784,1.000000,0.000000,0.000000,6,0.000000,360
218.913,0.000354733,-0.0592878,6.63769,11.1921,191.444,10.7979,6.05967,-0.0239006,1.000000,0.000000,0.000000,6,1.000000,360
219.994,-1.44771,0.0122756,6.10812,10.0716,200,12.0736,6.62325,-0.048804,1.000000,0.000000,0.000000,6,0.000000,360
