speed,lateralSpeed,trackPosition,trackEdge_0,trackEdge_3,trackEdge_6,trackEdge_9,trackEdge_12,trackEdge_15,trackEdge_18,angleToTrackAxis,action_accelerate,action_brake,action_clutch,action_gear,action_steering,action_focus
151.895,0.00130003,0.433601,3.11553,3.62839,6.39433,200,15.3787,9.02874,7.88566,0.0147398,1.000000,0.000000,0.000000,5,0.000000,360
152.352,0.0013352,0.429056,3.14053,3.6575,6.44564,200,15.3299,9.00011,7.86066,0.0147398,1.000000,0.000000,0.000000,5,0.000000,360
152.811,0.00136141,0.424503,3.16558,3.68667,6.49703,200,15.2811,8.97144,7.83562,0.0147393,1.000000,0.000000,0.000000,5,0.000000,360
153.27,0.00141929,0.419935,3.1907,3.71593,6.5486,200,15.2321,8.94267,7.81049,0.0147393,1.000000,0.000000,0.000000,5,0.000000,360
153.728,0.00137194,0.415379,3.21577,3.74512,6.60004,200,15.1832,8.91398,7.78543,0.0147389,1.000000,0.000000,0.000000,5,0.000000,360
154.189,0.00138486,0.410806,3.24092,3.77441,6.65165,200,15.1342,8.88518,7.76028,0.0147384,1.000000,0.000000,0.000000,5,0.000000,360
154.648,0.00135726,0.406223,3.26613,3.80377,6.70339,200,15.085,8.85632,7.73506,0.0147384,1.000000,0.000000,0.000000,5,0.000000,360
155.109,0.00133631,0.401605,3.29153,3.83335,6.75551,200,15.0355,8.82724,7.70967,0.0147374,1.000000,0.000000,0.000000,5,0.000000,360
155.569,0.00124618,0.396977,3.31698,3.86299,6.80775,200,14.9859,8.7981,7.68421,0.0147365,1.000000,0.000000,0.000000,5,0.000000,360
156.027,0.00116793,0.392316,3.34262,3.89285,6.86036,200,14.9359,8.76875,7.65857,0.0147355,1.000000,0.000000,0.000000,5,0.000000,360
156.488,0.00115096,0.387664,3.36821,3.92265,6.91287,200,14.886,8.73946,7.63298,0.0147346,1.000000,0.000000,0.000000,5,0.000000,360
156.944,0.0010879,0.383015,3.39378,3.95243,6.96533,200,14.8362,8.71018,7.60741,0.0147336,1.000000,0.000000,0.000000,5,0.000000,360
157.404,0.00114952,0.378341,3.4195,3.98237,7.01809,200,14.7861,8.68075,7.5817,0.0147327,1.000000,0.000000,0.000000,5,0.000000,360
157.859,0.00106597,0.373656,3.44526,4.01238,7.07096,200,14.7358,8.65125,7.55593,0.0147317,1.000000,0.000000,0.000000,5,0.000000,360
158.313,0.00105111,0.368942,3.4712,4.04258,7.12418,200,14.6853,8.62156,7.53,0.0147308,1.000000,0.000000,0.000000,5,0.000000,360
158.769,0.00101899,0.36422,3.49717,4.07282,7.17748,200,14.6346,8.59182,7.50402,0.0147303,1.000000,0.000000,0.000000,5,0.000000,360
159.219,0.00094872,0.359472,3.52328,4.10323,7.23106,200,14.5837,8.56193,7.47791,0.0147288,1.000000,0.000000,0.000000,5,0.000000,360
159.674,0.000929396,0.35472,3.54942,4.13367,7.2847,200,14.5328,8.532,7.45177,0.0147284,1.000000,0.000000,0.000000,5,0.000000,360
160.121,0.000860751,0.349981,3.57549,4.16403,7.33818,200,14.482,8.50216,7.4257,0.0147269,1.000000,0.000000,0.000000,5,0.000000,360
